,e.ap.1,e.ap.2,e.b.1,e.b.2,e.p.ap.1,e.p.ap.2,e.p.b.1,e.p.b.1.rep,e.p.b.2,e.p.b.2.rep,e.p.pr.l.1,e.p.pr.l.2,e.pr.l.1,e.pr.l.2,pname,gene
Q99MR3,1,1,1,1,7415229.667,1565921.232,1487067.884,1476912.419,1873948.033,2323711.118,4281377.545,2302260.998,3782518.713,6328779.2,Solute carrier family 12 member 9,Slc12a9
P53986,32150358.74,12317879.54,8267897.505,1836509.632,19949195.3,19114236.9,4010042.488,7950879.358,9237139.977,8889330.477,7161011.285,4230221.751,10556143.25,4416562.608,Monocarboxylate transporter 1,Slc16a1
O35874,4085058.761,25657825.98,1,1,3335390.854,1,1,1,1,1,1,1,1,1,Neutral amino acid transporter A,Slc1a4
P51912,1,1,12168467.18,4009353.599,2684017.64,1906795.048,4661354.916,8052316.293,6923479.849,1,1,1,1,1,Neutral amino acid transporter B(0),Slc1a5
Q9QZD8,93953526.76,109915061.6,10918101.22,1659273.732,175732018.1,135248937.8,31883858.19,31918510.46,10533974.3,19109353.28,190447201.6,154128034.7,186117553.9,156147870.2,Mitochondrial dicarboxylate carrier,Slc25a10
Q9CR62,56774000,132220000,103470000,118690000,131510000,119380000,112260000,132350000,130330000,101370000,112790000,132250000,131550000,132040000,Mitochondrial 2-oxoglutarate/malate carrier protein,Slc25a11
Q8BH59,87633000,81925000,87955000,1.05E+08,80148000,61971000,113970000,135120000,102860000,101410000,117070000,131010000,152900000,145600000,Calcium-binding mitochondrial carrier protein Aralar1,Slc25a12
Q9QXX4,59708000,99175000,171440000,179370000,201240000,154470000,248450000,279060000,191880000,178580000,56174000,67419000,91236000,82718000,Calcium-binding mitochondrial carrier protein Aralar2,Slc25a13
Q9Z2Z6,58023000,16054000,33828000,24445000,16733000,17651000,17054000,25440000,19122000,27620000,18558000,21727000,18017000,17190000,Mitochondrial carnitine/acylcarnitine carrier protein,Slc25a20
Q9D6M3;Q9DB41,6505869.197,449287.5452,5244287.262,733776.1026,13843462.04,7664312.19,7646177.436,8314556.479,5518949.943,7576474.145,11701449.43,15509648.29,11884100.51,10072718.15,Mitochondrial glutamate carrier 1,Slc25a22
Q8BMD8,10332000,12427000,37895000,20700000,13717000,13898000,19349000,26342000,20415000,19348000,15287000,29732000,47800000,39500000,Calcium-binding mitochondrial carrier protein SCaMC-1,Slc25a24
Q8BL03,1,1,1,792217.693,1,1,2589670.233,1690210.452,1,1,14445657.68,4643858.964,1,1,Mitochondrial carnitine/acylcarnitine carrier protein CACL,Slc25a29
Q8VEM8,140080000,190220000,285240000,246210000,409020000,331340000,298680000,335740000,256880000,270080000,398790000,415800000,440770000,436300000,"Phosphate carrier protein, mitochondrial",Slc25a3
Q5SWT3,1,425988.2305,1,1,247109.3224,346973.3377,1,1,1,1,41949148.43,59529613.39,27778383.74,37721985.35,Solute carrier family 25 member 35,Slc25a35
Q922G0,1,1,1,1,1,449976.0651,1,1,84469.2363,1,3970406.577,2651151.956,524034.2747,1976985.733,Solute carrier family 25 member 36,Slc25a36
P48962,145520000,231650000,718790000,804460000,414580000,388600000,1052400000,1238500000,1000900000,968900000,277160000,375780000,239520000,237520000,ADP/ATP translocase 1,Slc25a4
Q8R0Y8,860348.1195,2382463.807,20455471.74,11652773.52,881397.5832,1,22339816.72,33229711.38,18928396.33,15081604.33,553803.4316,957715.4154,996042.4108,630006.3817,Mitochondrial coenzyme A transporter SLC25A42,Slc25a42
P51881;Q3V132,1579400000,1.28E+09,1453500000,1.39E+09,2.12E+09,2157300000,1921900000,2059700000,1759800000,1833900000,2150700000,2.30E+09,1610100000,1514500000,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",Slc25a5
Q5HZI9,1,1,5591599.008,4215439.024,3839314.473,3695919.714,4913845.511,14469487.9,1,1,4251246.604,6150644.583,2107654.336,1,Solute carrier family 25 member 51,Slc25a51
Q60714,20721421.73,21515120.72,5493880.048,7043422.835,23066936.75,18132964.66,7626220.249,6547590.521,1151041.426,939192.3222,9940426.893,9914613.43,9185989.219,6602259.036,Long-chain fatty acid transport protein 1,Slc27a1
O88561,4541020.431,31115200.52,20082065.21,12345649.03,9561723.782,1,5515522.486,5134952.657,4771363.098,25405458.07,5446167.696,978532.0601,24925881.9,11335739.19,Long-chain fatty acid transport protein 3,Slc27a3
Q91VE0,2117997.275,1,6884328.047,4120612.948,11562718.29,12789453.89,1644343.387,3263698.312,3768717.212,4222479.752,7670453.456,10915509.65,7019060.829,8095003.139,Long-chain fatty acid transport protein 4,Slc27a4
Q9ERH8,37832813.42,51338787.96,1,1,3234141.132,24677865.35,1,1,1,1,1,1,1,1,Solute carrier family 28 member 3,Slc28a3
Q9JIM1,54330000,51041000,64125000,73434000,44979000,52689000,69915000,52917000,84645000,38663000,67761000,69269000,71497000,53676000,Equilibrative nucleoside transporter 1,Slc29a1
P17809,3344032.774,5423623.194,15492003.66,11306214.03,5620934.587,4190978.758,6296685.38,7562894.77,1,9413581.211,8932186.635,18532804.17,9697811.252,13240982.05,"Solute carrier family 2, facilitated glucose transporter member 1",Slc2a1
P14142,1,1,7754845.667,15745510.76,1,1,13918527.92,26595174.92,43421064.5,22719230.44,1,1,1,1,"Solute carrier family 2, facilitated glucose transporter member 4",Slc2a4
Q9JKN1,1,1,1,2348740.859,3255216.074,1,1,7977524.083,9621254.226,1,9779619.368,10159221.48,11143919.48,1,Zinc transporter 7,Slc30a7
Q5IRJ6,1,1,868137.4267,4420185.441,1,1,4696440.937,4566672.098,1,1,6528425.267,5290023.59,1,1610386.013,Zinc transporter 9,Slc30a9
Q99J27,429903.3546,1,1,1,1990419.542,1,1361723.879,2138963.711,941977.3738,2484808.336,5950205.947,5610510.062,7476275.273,3165346.779,Acetyl-coenzyme A transporter 1,Slc33a1
Q91ZN5,2475422.262,9089862.912,12629220.26,7564418.475,6776081.42,17888160.9,8871291.156,10102557.75,8888924.255,534920.4778,10147413.36,14082435.17,17030617.5,9581821.847,Adenosine 3-phospho 5-phosphosulfate transporter 1,Slc35b2
Q8CD26,2252384.739,1,1,1,1,1,3679268.221,4515719.905,1746149.273,1068248.456,7304624.523,8599221.134,2135504.206,2133233.879,Solute carrier family 35 member E1,Slc35e1
Q5I012,1,1871974.733,537934.6876,42938318.26,1522270.826,907645.9628,2840486.999,1764021.014,154691.2443,2110571.026,10754781.09,9428392.52,4491474.139,4252611.447,Putative sodium-coupled neutral amino acid transporter 10,Slc38a10
Q8CFE6,1,1,1,1,1,1,1,385810.94,1,1,897230.6639,1064743.919,975490.1003,1,Sodium-coupled neutral amino acid transporter 2,Slc38a2
Q75N73,1,3083484.661,1,1,11053469.69,1675157.198,1,7732112.144,2062505.051,1,1756764.9,955818.455,1,1,Zinc transporter ZIP14,Slc39a14
Q8C145,1,229332.2153,4713220.198,1,1,1,2021534.206,1267634.467,2953057.783,1731174.019,1,1,1,3741659.953,Zinc transporter ZIP6,Slc39a6
Q31125,4626469.108,3704754.356,4449106.047,4015439.996,967947.3459,913971.7744,1899859.748,314547.9875,1516847.426,4753355.282,3960417.515,5233114.777,6083781.771,4030910.46,Zinc transporter SLC39A7,Slc39a7
P10852,165860000,181290000,639960000,668840000,131080000,140790000,732820000,803790000,773120000,685090000,287830000,265160000,172420000,150980000,4F2 cell-surface antigen heavy chain,Slc3a2
Q6X893,17203196.06,8241996.494,4997424.057,5810318.668,18747698.59,11898697.33,8965283.066,10726605.25,6623278.409,5670571.115,18560005.01,17699639.18,24482071.14,28583200.84,Choline transporter-like protein 1,Slc44a1
Q8BY89,18581438.48,13669294.23,25458245.77,29891516.22,3348290.819,4152098.16,17683998.31,13955291.46,22579276.63,15128742.3,13024918.29,14850204.94,18553176.35,19069293.15,Choline transporter-like protein 2,Slc44a2
Q921V7,1,1,1,1,3819064.528,3633175.891,1,1,1,1,8032188.51,2738861.416,3367550.685,2409721.993,Choline transporter-like protein 3,Slc44a3
Q91VA1,1,1,1,1,1,1,1,1,1,1,23258139.33,23866258.17,5249774.967,6436347.935,Choline transporter-like protein 4,Slc44a4
Q8BTY2,1,1,1,1,1,1,1,1,1,286286.7643,3766695.211,1625745.006,1391649.567,1,Sodium bicarbonate cotransporter 3,Slc4a7
Q9CXK4,1,1,1,1,3921889.246,1558926.839,1,12335105.21,1,1,8203148.853,20543083.02,23840680.19,6441361.732,Sugar transporter SWEET1,Slc50a1
Q8C3K6,11904201.14,4910956.614,1,1,3761689.685,12428419.76,1,1,1,1,1,1,1,1,Sodium/glucose cotransporter 1,Slc5a1
Q9JKZ2,1,1,1,1,5537759.815,4215047.7,1,1,3750364.089,1,3363693.867,6526542.268,4433838.311,6398516.558,Sodium/myo-inositol cotransporter,Slc5a3
Q99PN0,328400.6844,1,1,1,1,1,1,1,1,1,37901121.93,75563920.99,233794942.9,181978040.7,Sodium/iodide cotransporter,Slc5a5
Q8BYF6,64307779.36,139373996.6,1,1,92294746.93,59135538.29,1,1,1,1,1,1,2454561.451,1,Sodium-coupled monocarboxylate transporter 1,Slc5a8
P18581,1,1,1,1,1,1,1,1,1,1,30253757.95,73517200.53,40620102.78,69463878.29,Low affinity cationic amino acid transporter 2,Slc7a2
Q9Z127,13809494.77,3480471.233,28727190.66,27057689.46,961497.3636,1421404.723,18476491.74,17237734.56,17748232.23,41073739.1,6288032.754,4662828.569,3053854.911,2117052.989,Large neutral amino acids transporter small subunit 1,Slc7a5
Q61165,11187000,47720000,34720000,42395000,24618000,24409000,44069000,51880000,32304000,32435000,19428000,21719000,28473000,23130000,Sodium/hydrogen exchanger 1,Slc9a1
P70441,639740000,286360000,35671000,32356000,191950000,238630000,18519000,13042000,19989000,26422000,227580000,119930000,143250000,166210000,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,Slc9a3r1
Q9JHL1,167990000,117900000,54621000,46052000,17846000,28573000,39212000,26619000,35215000,42794000,48490000,35763000,59672000,62106000,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,Slc9a3r2
Q9EPT5,1,1,6224861.544,6736303.209,1117721.935,1,6025332.026,4340612.644,7676002.742,6512684.686,25974836.73,14019036.75,16879701.98,16148072.7,Solute carrier organic anion transporter family member 2A1,Slco2a1
Q9D8T7,1,45935851.07,62035708.21,38372302.73,128984646.3,64309332.16,69959594.34,6387254.721,40335137.29,61055144.94,65290802.87,64366862.48,68855204.54,88024043.15,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",Slirp
O54988,29597000,30486000,20553000,21475000,20311000,21272000,19302000,17654000,15655000,26030000,21307000,17195000,31969000,22580000,STE20-like serine/threonine-protein kinase,Slk
Q3URD3,22064000,33156000,365200000,345960000,33312000,31123000,200520000,195670000,227630000,289030000,6200800,11008000,18378000,14297000,Sarcolemmal membrane-associated protein,Slmap
Q8CH25,53521000,23417000,18812000,26146000,25718000,22029000,29583000,18117000,24613000,50600000,27160000,29646000,36819000,23105000,SAFB-like transcription modulator,Sltm
P70340;P97454,2305325.255,1,5688226.137,7991440.136,19193947.37,12873798.05,9188031.015,20650129.14,18100037.8,15223018.25,13811597.87,4975377.759,11111154.92,10105991.53,Mothers against decapentaplegic homolog 1;Mothers against decapentaplegic homolog 5,Smad1;Smad5
Q62432;Q9JIW5,16779000,18335000,17369000,17718000,22164000,21035000,19322000,24003000,20131000,26812000,16842000,21276000,20467000,28436000,Mothers against decapentaplegic homolog 2;Mothers against decapentaplegic homolog 9,Smad2;Smad9
P97471,9163900,10216000,13086000,9191500,15938000,13799000,13050000,20265000,4807200,9228000,9424300,11976000,12898000,9776600,Mothers against decapentaplegic homolog 4,Smad4
Q9R0P4,93598079.1,56824742.26,70491946.73,30318781.33,34502155.39,55340051.33,51313788.4,48053994.83,20518252.39,61508688.71,91249264.09,53893644.12,57273431.49,59668742.17,Small acidic protein,Smap
Q91VZ6,26849000,28806000,43120000,31931000,20350000,22531000,31466000,35349000,38048000,30026000,51055000,45797000,24680000,33232000,Stromal membrane-associated protein 1,Smap1
Q7TN29,7621645.302,10587578.79,10075971.23,1,10606470.92,10417531.69,10933319.14,1959555.898,1,1,9394139.822,9665013.374,1,1,Stromal membrane-associated protein 2,Smap2
Q6DIC0,1912685.056,3515719.612,17129751.59,21582366.12,6874106.151,6386292.53,23291967.64,23124816.38,29748212.66,21670728.97,5907629.616,2917225.616,1,923450.2455,Probable global transcription activator SNF2L2,Smarca2
Q3TKT4,60814000,119140000,108500000,92048000,177200000,149230000,138510000,144960000,138810000,148110000,215710000,211420000,157010000,129130000,Transcription activator BRG1,Smarca4
Q91ZW3;Q6PGB8,116900000,137630000,103460000,118820000,228840000,247510000,183930000,175820000,194860000,140700000,186890000,188310000,152510000,152050000,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,Smarca5
Q04692,1,1485739.597,2853612.006,1581854.753,5448210.061,2726476.229,3402764.625,4423772.232,5210671.334,3323928.009,3591968.501,4841891.649,3285341.443,1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1,Smarcad1
Q8BJL0,1,1,2873374.165,4757006.688,1,1,1055542.016,1050503.332,2171591.703,1767291.901,519398.4815,1,1,1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1,Smarcal1
Q9Z0H3,33089000,54475000,39062000,48252000,89782000,75107000,77349000,86868000,65460000,47882000,67908000,81748000,52020000,54641000,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,Smarcb1
P97496,36458000,71051000,75628000,77994000,159620000,141860000,162190000,152510000,204380000,134320000,136660000,187470000,110660000,112770000,SWI/SNF complex subunit SMARCC1,Smarcc1
Q6PDG5,185590000,294320000,197190000,228330000,286250000,304110000,315520000,292990000,292620000,258610000,324250000,327430000,230840000,231830000,SWI/SNF complex subunit SMARCC2,Smarcc2
Q61466,1682562.119,29103729.3,11258971.15,14136267.22,23045936.81,17040605,20149032.7,15861090.45,42523601.3,24970387.3,29102559.47,15474704.28,11389157.19,17370527.57,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1,Smarcd1
Q99JR8;Q6P9Z1,123290000,75528000,55471000,71306000,92202000,107390000,71338000,83453000,71650000,87393000,127730000,121100000,85804000,81877000,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2,Smarcd2
O54941,96461000,67038000,65406000,52966000,67878000,77567000,75032000,69304000,84356000,90983000,87067000,77428000,60495000,51756000,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,Smarce1
Q9CU62,248750000,157040000,155100000,136190000,160890000,160800000,169890000,157970000,180520000,157780000,106220000,105280000,109350000,94977000,Structural maintenance of chromosomes protein 1A,Smc1a
Q8CG48,3968067.047,1403674.838,2043035.96,3790973.65,22157939.24,27823285.16,13371314.75,20604786.36,14061004.67,8296920.779,3465058.285,6315380.62,12362661.56,8280513.628,Structural maintenance of chromosomes protein 2,Smc2
Q9CW03,97547000,172270000,122570000,155190000,182490000,209410000,152520000,153820000,176190000,136760000,97738000,108980000,95050000,101430000,Structural maintenance of chromosomes protein 3,Smc3
Q8CG47,1398156.91,1330810.041,2645399.652,1310401.418,15634457.13,13598952.06,5165692.325,2211512.155,4619691.817,1810671.579,2102124.442,2011177.412,6394548.591,4363735.42,Structural maintenance of chromosomes protein 4,Smc4
Q6P5D8,21557000,57094000,49119000,40612000,113170000,98043000,85129000,82717000,69462000,62319000,61058000,68042000,74030000,79288000,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,Smchd1
Q6P2K6,16868000,28702000,23737000,16950000,66257000,43911000,35549000,40888000,15458000,22799000,32379000,37871000,27688000,33662000,Serine/threonine-protein phosphatase 4 regulatory subunit 3A,Smek1
Q922R5,8631493.296,13654323.88,20543910.13,17213549.88,11250719.15,18880747.6,13573461.74,15396443.85,6936044.334,6572562.656,10405655.18,9783323.8,12681867.74,11336194.99,Serine/threonine-protein phosphatase 4 regulatory subunit 3B,Smek2
Q9DB90,781090.3527,1,1665808.019,1966515.086,1900719.788,2091632.177,3123042.128,270121.4149,350674.7704,1347572.814,1,1,1,1618544.828,Protein SMG9,Smg9
Q8BGT7,8784900,24510000,19701000,21280000,28151000,31396000,25434000,33762000,39897000,23042000,22461000,22311000,18889000,22876000,Survival of motor neuron-related-splicing factor 30,Smndc1
O70572,3144181.738,6986528.162,4366563.551,7271906.204,5206110.725,7001284.848,8063990.785,6197936.94,8404742.859,9151774.344,9724106.383,13802383.9,10341684.36,7046207.969,Sphingomyelin phosphodiesterase 2,Smpd2
Q6ZPR5,18553000,41224000,23275000,25522000,46893000,37330000,32651000,39739000,25413000,17749000,26357000,32082000,29142000,31985000,Sphingomyelin phosphodiesterase 4,Smpd4
P70158,4201344.288,27020128.2,1,1,17771201.27,11316516.95,1800846.354,1,4471027.038,1697795.236,1,1,1,1,Acid sphingomyelinase-like phosphodiesterase 3a,Smpdl3a
P58242,17672339.89,39912324.96,13704674.74,16595171.88,30833165.45,34362014.33,10201984.83,11239866.79,9548110.975,8782951.531,1,1,1,1,Acid sphingomyelinase-like phosphodiesterase 3b,Smpdl3b
P97355,12556482.91,4545543.88,8569243.125,7380609.266,17618951.69,9266336.835,13198137.88,17712197.65,8986299.012,13233668.27,10877269.92,15206134.62,37216064.3,45123261.31,Spermine synthase,Sms
Q921U8,1,299692.8796,265544450.6,304892004.7,127447.1505,1567052.678,45868051.69,50381902.36,35635571.25,38646770.34,2038259.947,344582.8615,670779.7575,1,Smoothelin,Smtn
Q3UKJ7,114390000,51025000,51985000,58407000,90519000,64565000,70262000,64461000,105780000,64124000,82341000,84206000,52700000,52714000,WD40 repeat-containing protein SMU1,Smu1
Q6P5C5,18267420.48,31999812.35,22038628.08,34924967.09,27431924.78,13990843.8,21535091.47,18187128.18,1141393.697,14487920.63,20204106.39,29524691.44,10350123.72,8205762.473,Single-strand selective monofunctional uracil DNA glycosylase,Smug1
Q9CWR2,1,1,1,16752200.94,3389240.707,2755996.683,15247290.26,19254786.97,12730515.48,5694777.103,1,1,1,1,Histone-lysine N-methyltransferase SMYD3,Smyd3
Q3TYX3,7669195.254,17769810.31,12954586.19,1,13146713.95,27579509.99,14492136.08,9808063.419,16586017.38,21955467.83,4919203.728,5968935.742,8581334.287,11297452.02,SET and MYND domain-containing protein 5,Smyd5
O09044,21574000,39372000,26859000,2.70E+07,33930000,32878000,34422000,38179000,31090000,20685000,24631000,32667000,24120000,32062000,Synaptosomal-associated protein 23,Snap23
Q9ERB0,26651512.79,13238148.03,3325501.779,5813970.507,8293477.259,7733947.547,13516809.08,15228628.83,10015689.3,5078671.016,43781568.2,36010798.5,32630516.18,26986078.6,Synaptosomal-associated protein 29,Snap29
Q8R570,1,1974997.988,7768275.2,4172225.6,2175219.035,1,8150257.332,9414469.415,11049118.18,12126562.83,2699175.601,11357800.95,6451638.343,10300618.01,Synaptosomal-associated protein 47,Snap47
Q9Z266,19004915.53,1,1,1,4900936.562,1,1,1,6998418.026,5622350.239,10715479.86,9861199.018,1,4792734.122,SNARE-associated protein Snapin,Snapin
Q78PY7,370020000,489970000,354180000,323270000,498790000,496510000,468700000,420270000,412480000,399690000,984640000,948790000,661670000,662960000,Staphylococcal nuclease domain-containing protein 1,Snd1
Q9CZ28,33882871.85,1,19696648.53,23868417.09,13719712.38,48761207.26,21356120.58,19531518.15,30436118.2,16884950.41,50068127.15,32518893.71,6669075.831,16420640.94,Vacuolar-sorting protein SNF8,Snf8
Q8K194,20039244.69,22153402.18,9661620.999,1,10559221.05,16905860.07,16160170.58,1,1,11663464.07,12701829.44,14197750.39,41546942.49,12514437.29,U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein,Snrnp27
Q6PE01,66029000,55597000,48022000,45410000,62914000,67463000,60757000,51409000,56469000,58695000,52793000,58997000,39770000,40211000,U5 small nuclear ribonucleoprotein 40 kDa protein,Snrnp40
Q62376,269670000,216630000,239930000,161330000,197480000,2.64E+08,217670000,164690000,165970000,323890000,202290000,224400000,235040000,217320000,U1 small nuclear ribonucleoprotein 70 kDa,Snrnp70
Q62189,142150000,124480000,63954000,118610000,116210000,124100000,113910000,117640000,116170000,95917000,114900000,90921000,68935000,90777000,U1 small nuclear ribonucleoprotein A,Snrpa
P57784,201070000,180050000,142570000,139350000,187130000,185890000,1.66E+08,202640000,190550000,178290000,192740000,167490000,135450000,170260000,U2 small nuclear ribonucleoprotein A,Snrpa1
P27048;P63163,74054000,136410000,75315000,109920000,161480000,142880000,174680000,153770000,184590000,130340000,142950000,155350000,92074000,100780000,Small nuclear ribonucleoprotein-associated protein B;Small nuclear ribonucleoprotein-associated protein N,Snrpb;Snrpn
Q9CQI7,37377000,37175000,22120000,35453000,36768000,40801000,34248000,36656000,30986000,36204000,48369000,35627000,29650000,37206000,U2 small nuclear ribonucleoprotein B,Snrpb2
Q62241,96097000,114110000,74654000,71954000,103120000,94267000,119980000,90677000,78913000,110670000,73073000,87599000,70809000,95347000,U1 small nuclear ribonucleoprotein C,Snrpc
P62315,107760000,136680000,148930000,115590000,198470000,184350000,148230000,184560000,171300000,166850000,185280000,222300000,165190000,149060000,Small nuclear ribonucleoprotein Sm D1,Snrpd1
P62317,474690000,204220000,186340000,184900000,175180000,208890000,192610000,161100000,175780000,214150000,196920000,196090000,157480000,153310000,Small nuclear ribonucleoprotein Sm D2,Snrpd2
P62320,173230000,135860000,154550000,134900000,266640000,177550000,128930000,145820000,189570000,178600000,158970000,188930000,122470000,180330000,Small nuclear ribonucleoprotein Sm D3,Snrpd3
P62305,482584935.3,796545322.6,419994999.4,462298421.1,1213796672,823569240.9,745690605.7,801071312.6,691271029.1,536251807.2,709370793.2,694636956.2,770562714.3,790766945.2,Small nuclear ribonucleoprotein E,Snrpe
P62307,26561000,8031100,7002700,6611800,5384200,7568600,7517700,6175500,8579200,6910400,5699100,6267100,5177300,7369000,Small nuclear ribonucleoprotein F,Snrpf
P62309,244741016.1,606802889.1,348501842.8,283139219.4,772572881.6,553349083.9,588048148.1,965380448.6,746420142.7,524753963,580200756.6,608524936.9,510729880.5,535792578.3,Small nuclear ribonucleoprotein G,Snrpg
Q61234,7417792.537,25974925.3,11258971.15,11190572.48,21710190.47,26269089.83,2147972.637,1,1,1,1,1,1,4682430.588,Alpha-1-syntrophin,Snta1
Q99L88,8482252.357,8998815.941,19744689.13,23190392.39,13352213.39,17019004.67,37663716.82,34978446.74,40125130.9,23976667.8,1,1,541806.5626,534607.499,Beta-1-syntrophin,Sntb1
Q61235,67003000,43458000,193460000,199910000,33729000,36431000,137400000,130720000,1.30E+08,150920000,3499900,16917000,32524000,32173000,Beta-2-syntrophin,Sntb2
Q9CSN1,95841000,117470000,82708000,72858000,96934000,106520000,105020000,94674000,83685000,84934000,106520000,98088000,89219000,91858000,SNW domain-containing protein 1,Snw1
Q9WV80,102310000,118100000,90363000,105930000,116960000,129990000,113320000,104890000,120370000,95847000,149470000,112580000,107280000,120280000,Sorting nexin-1,Snx1
O70493,56324000,66862000,62149000,80737000,51359000,54475000,70518000,54451000,61461000,57267000,38617000,37751000,38574000,41040000,Sorting nexin-12,Snx12
Q6PHS6,1,1,1,1,1,1,1,1,1,1,1088120.004,1,2638042.948,5097208.339,Sorting nexin-13,Snx13
Q8BHY8,1,1,1,1,1,1,1,1,1,1,1146253.071,1897809.067,6227250.798,3477934.232,Sorting nexin-14,Snx14
Q91ZR2,18366051.32,8328280.171,23223265.75,24539138.11,9107975.026,25741424.57,6433746.185,2058795.811,13348867.62,7807068.028,515009.8443,350109.0067,506361.2734,1,Sorting nexin-18,Snx18
Q9CWK8,60618000,91100000,61362000,77547000,61612000,78900000,94915000,80561000,125830000,60594000,58159000,53861000,55905000,69188000,Sorting nexin-2,Snx2
Q3UHD6,4332224.354,1,1130591.993,2122448.594,4454012.787,1,1363140.196,1202939.205,2417631.239,3645421.745,2072812.276,3401499.645,2094945.661,2119240.827,Sorting nexin-27,Snx27
O70492,36740000,35960000,36739000,32102000,40746000,49589000,28036000,29653000,29515000,24157000,26045000,24755000,34129000,35516000,Sorting nexin-3,Snx3
Q91YJ2,1345028.077,4346710.359,3653269.733,2085808.48,3994489.047,4209699.046,2351535.937,1,3137755.71,3161365.692,2718007.439,3156042.95,6957999.616,5557566.063,Sorting nexin-4,Snx4
Q9D8U8,79495000,76440000,16169000,34379000,50335000,40300000,30781000,37864000,27948000,38697000,38830000,28957000,27802000,24931000,Sorting nexin-5,Snx5
Q6P8X1;Q80ZJ7,29017000,29685000,32037000,33323000,33429000,36516000,30989000,37227000,31557000,30458000,42558000,33876000,28193000,29196000,"Sorting nexin-6;Sorting nexin-6, N-terminally processed",Snx6
Q91VH2,26201906.81,13235017.87,9133829.431,11732992.24,7069105.616,10331130.36,15824117.32,22548448.92,25586675.81,31960184.74,25608025.26,30528582.87,24795816.55,18391063.16,Sorting nexin-9,Snx9
Q61263,1,1,12181569.16,16937227.43,1,1,28907018.54,28015759.46,28626383.66,17163319.27,82928866.57,182452649,222218134.1,190337407.7,Sterol O-acyltransferase 1,Soat1
P08228,714170000,385120000,379180000,2.90E+08,157320000,240390000,210320000,204120000,247340000,306550000,218580000,165750000,184520000,157420000,Superoxide dismutase [Cu-Zn],Sod1
P09671,249100000,200090000,111310000,110160000,144640000,143880000,113070000,104720000,1.17E+08,108990000,145060000,111780000,91640000,102980000,"Superoxide dismutase [Mn], mitochondrial",Sod2
Q9QX47,104110000,104530000,92389000,92352000,98516000,99608000,106110000,120260000,123790000,95744000,87672000,89739000,84384000,76555000,Protein SON,Son
Q62417,1,1,99456064.92,119964115.3,1,1,34948251.94,37752302.82,44232819.96,44803372.2,118514.4911,52231.30775,395368.868,1,Sorbin and SH3 domain-containing protein 1,Sorbs1
Q3UTJ2,37486781.59,64262286.36,3987807.045,1828232.131,57288592.91,60169268.48,1845202.809,59011.05357,316562.1942,2323137.818,1,558904.4457,553969.1618,717930.1489,Sorbin and SH3 domain-containing protein 2,Sorbs2
Q9R1Z8,31192000,36864000,26421000,22023000,18459000,24198000,16638000,14327000,20410000,22863000,10879000,22139000,17623000,19637000,Vinexin,Sorbs3
Q9EPR5,1,1,501598.52,705157.8608,1,1,1051872.469,946401.9254,2688395.886,590084.6498,1,1,1,1,VPS10 domain-containing receptor SorCS2,Sorcs2
Q64442,11324892.07,21090507.04,17391791.26,19460647.9,7023205.742,15475095.21,18246018.43,18412907.16,8286277.717,10983785.41,1,5446772.425,1,1,Sorbitol dehydrogenase,Sord
Q04888;Q04886,28240434.46,33567616.7,30878099.61,34352845.71,30725165.75,36697935.97,40867167.1,27173879.64,30602597.63,57777781.6,720047.6269,875796.677,2200040.447,1481212.371,Transcription factor SOX-10,Sox10
O89090,31347659.05,20582875.94,15519299.46,1,656300.7004,1013775.595,20352467.24,20496805.11,18661849.76,1212719.983,1,9881666.222,544934.0881,1,Transcription factor Sp1,Sp1
O70494,2106274.564,28202786.17,42888251.16,27480085.46,29743418.44,23225500.15,37985606.92,30400696.05,48144413.31,851350.0668,42381461.94,40506594.71,35824563.66,22772210.13,Transcription factor Sp3,Sp3
Q7TNE3,18560959.05,22059497.23,13869541.37,4811297.355,28781921.08,27000415.36,15501583.44,15917184.61,9888249.528,4019340.555,3034218.571,11753666.64,19910919.56,7154232.504,Sperm-associated antigen 7,Spag7
Q58A65;Q9ESN9,1,4188977.264,3695196.08,7166611.524,5006386.272,4692826.478,3952295.404,3792853.197,3599276.16,2768145.792,1269495.172,1255538.202,1896769.758,1228197.943,C-Jun-amino-terminal kinase-interacting protein 4,Spag9
P07214,14908322.38,10147178.19,134666553.7,108682368.6,1387121.196,10630449.25,88828792,94813149.52,88687313.33,77529230.55,1,3546217.758,12137777.58,3059510.083,SPARC,Sparc
